audio,target_onset,target_duration,end
basket_Baseline,0.909871411979426,0.7374982025330457,1.6473696145124717
belly_Rhyme,0.9926616224721181,0.5846626405664306,1.5773242630385487
bottle_Baseline,0.8816535185502773,0.6507047580937136,1.532358276643991
bubbles_Cohort,0.991520619547254,0.8002254121987776,1.7917460317460316
bunny_Cohort,0.9088718248242058,0.5603798758560663,1.469251700680272
butter_Cohort,0.9669047619047619,0.5456575963718822,1.512562358276644
button_Cohort,0.7681575963718821,0.5272392290249432,1.2953968253968253
camera_Cohort,0.8043698893698894,0.7658795437366865,1.570249433106576
candle_Rhyme,0.7762698412698413,0.7543197278911563,1.5305895691609976
candy_Cohort,0.8670258709544424,0.7889378478664192,1.6559637188208616
carrot_Rhyme,0.9069501133786848,0.6140249433106575,1.5209750566893423
chicken_Cohort,0.8945691609977324,0.7925283446712019,1.6870975056689343
children_Cohort,0.7294671201814059,0.7682199546485261,1.497687074829932
cookie_Baseline,0.8458356009070295,0.9055702947845804,1.7514058956916099
doctor_Baseline,0.9087074829931973,0.7908843537414966,1.6995918367346938
donut_Baseline,1.020429010313803,0.540976885377807,1.56140589569161
finger_Baseline,0.7007182333122183,0.8398940115857408,1.5406122448979591
flower_Rhyme,0.8340790816326531,0.9989821428571428,1.833061224489796
hammer_Baseline,0.8878418346881473,0.7763985281236442,1.6642403628117914
honey_Rhyme,0.9273502456538171,0.6822189153439154,1.6095691609977325
jelly_Rhyme,0.9581814746100461,0.6734285027142168,1.631609977324263
kitchen_Cohort,0.9326643990929705,0.6578571428571428,1.5905215419501133
kitten_Rhyme,0.8952721088435375,0.6517800453514738,1.5470521541950113
kitty_Cohort,0.8095248984716297,0.6679354189886877,1.4774603174603174
letter_Rhyme,0.7590602284527519,0.7468127874202639,1.5058730158730158
mitten_Rhyme,0.8495169677066229,0.6453356400031277,1.4948526077097506
money_Rhyme,0.7395195701468994,0.6971017450458444,1.4366213151927438
monkey_Baseline,0.6918835153108862,0.8103387069113359,1.5022222222222221
muffin_Baseline,0.7232288102617773,0.7283358155885628,1.45156462585034
noodles_Rhyme,0.9746481399577375,1.060453900858589,2.0351020408163265
parrot_Rhyme,0.760578231292517,0.4895351473922903,1.2501133786848073
penguin_Cohort,0.911842403628118,0.893985260770975,1.805827664399093
penny_Cohort,0.9359183673469388,0.5995918367346939,1.5355102040816326
people_Cohort,0.8974036281179139,0.7372448979591837,1.6346485260770975
pickle_Cohort,0.9695490047871,0.6963466868228774,1.6658956916099774
pillow_Cohort,0.8898979591836735,0.6024829931972788,1.4923809523809524
pizza_Cohort,0.9283106575963719,0.7732539682539682,1.70156462585034
pocket_Rhyme,1.0083147556211238,0.652025380433298,1.6603401360544219
police_Baseline,0.615766439909297,0.9305827664399093,1.5463492063492064
poodles_Rhyme,0.832891156462585,0.8812358276643991,1.7141269841269842
popcorn_Cohort,0.6541609977324263,0.8325283446712017,1.486689342403628
potty_Cohort,0.9585316429602144,0.7105386518243662,1.6690702947845806
present_Baseline,0.9629735295478736,0.7600423434679995,1.7230158730158731
pretzel_Baseline,0.8524067460317462,0.6608812358276643,1.5132879818594105
pumpkin_Baseline,0.8323742451690823,0.9231813103864732,1.7555555555555555
rocket_Rhyme,0.88599451144094,0.6561143320964751,1.542108843537415
sandal_Rhyme,0.8923861607666208,0.8712646328841729,1.7636507936507937
shovel_Baseline,0.8599234002544107,0.8366525634644102,1.696575963718821
shower_Rhyme,0.9242912681981005,0.8783164415524664,1.8026077097505668
sneaker_Baseline,0.9611086793691836,0.8062609351432881,1.7673696145124718
soda_Baseline,0.7859656751029547,0.8950547330603107,1.6810204081632654
sweater_Rhyme,0.8010723981074657,0.8007643365864119,1.6018367346938776
tractor_Baseline,0.6840095238095238,0.8525437641723355,1.5365532879818593
zipper_Baseline,0.9197778354978355,0.7767981282209854,1.696575963718821
